cate,year,mean
mean_food,100,28392
mean_food,101,27917
mean_food,102,27813
mean_food,103,28810
mean_food,104,29218
mean_com,100,65627
mean_com,101,66840
mean_com,102,64794
mean_com,103,65591
mean_com,104,65519
mean_finan,100,71485
mean_finan,101,72024
mean_finan,102,72880
mean_finan,103,76416
mean_finan,104,76668
mean_design,100,52064
mean_design,101,52809
mean_design,102,52436
mean_design,103,53791
mean_design,104,54549
mean_edu,100,38436
mean_edu,101,38091
mean_edu,102,36242
mean_edu,103,37878
mean_edu,104,36003
mean_doc,100,65407
mean_doc,101,66108
mean_doc,102,64177
mean_doc,103,66677
mean_doc,104,66836
